name,imo,flag
A R G,9689031,BARBADOS
ABROS,9247388,CURACAO (FALSE)
ABYSS,9157765,UNKNOWN
ADDRESS GAS,9194969,
ADELINE G,9234666,PANAMA
ADITYA,9203784,GUYANA (FALSE)
ADONIA,9242223,SINT MAARTEN (FALSE)
AFRA CROWN,9273052,GABON
AGNI,9337389,COMOROS (FALSE)
AKOYA GAS,9142150,UNKNOWN
AL DIAB II,9053816,PALAU
AL SAFA,9222649,PANAMA
AL SIDDEEQ,9312509,PANAMA
ALA,9198094,GUYANA (FALSE)
ALAA,9155341,PALAU
ALANA (ex FALCON PRIDE),9172583,ANTIGUA & BARBUDA
ALBA,9268112,CURACAO (FALSE)
ALBA SUN (ex EAGLE BEAUMONT),9111644,UNKNOWN
ALBATROSS 1,8817693,TANZANIA
ALBEDO,9213313,GABON
AMAK,9244635,GAMBIA
AMBER 6,9235713,TIMOR LESTE (FALSE)
AMELL,9257993,GAMBIA
AMIL,9308778,GUINEA (FALSE)
AMOR,9182291,CAMEROON
ANABEL,9246279,BOTSWANA (FALSE)
ANAHI,9273337,ST KITTS & NEVIS
ANASTASIA I,9200964,UNKNOWN
ANDIA,9121699,PALAU
ANDROMEDA V,9197832,CURACAO (FALSE)
ANGEL K,9208473,TANZANIA
ANGELICA I,9290323,PANAMA
ANGEL‡,9176773,TANZANIA
ANHONA,9354521,BELIZE (FALSE)
ANIKA,9305609,CURACAO (FALSE)
ANITA,9203253,GAMBIA
ANNA,9233208,CAMEROON
ANNABEL,9306457,PANAMA
ANSHUN II,9253117,PANAMA
APOLLO OCEAN,9423322,VIETNAM
APUS,9299745,ESWATINI (FALSE)
AQUA SPIRIT,9197727,PANAMA
AQUALIS,9258674,GUYANA (FALSE)
AQUARIS,9251822,PANAMA
ARABIAN ENERGY‡,9417490,CURACAO (FALSE)
AREIA,9321847,UNKNOWN
ARES,9174397,COOK ISLANDS
ARGO MARIS,9041643,HONDURAS
ARIHANT,9464156,PALAU
ARINA,9248813,HONG KONG
ARLAN,9227443,SIERRA LEONE
ARROW,9127033,TUVALU
ARTARA,9185528,PANAMA
ARTEMIS III,9102241,HONDURAS
ARTURA,9150365,GUYANA (FALSE)
ARZOYI,9248473,
ASIA UNITY,9622069,SINGAPORE
ASPHALT HONOR,9288382,HONG KONG
ASTERIX,9181194,UNKNOWN
ASTRA,9350422,GUYANA (FALSE)
ASTRA,9162928,CAMEROON
ATILA,9262754,CAMEROON
ATILA,9233753,GUYANA (FALSE)
ATLANTA,9176761,
ATLANTIS I,9229362,CURACAO (FALSE)
ATLANTIS II,9257503,IRAN
ATLANTIS MZ,9218181,COMOROS (FALSE)
AUDREY,9133070,
AURA,9274563,COOK ISLANDS
AUROURA,9262912,PANAMA
AVA 10,9247986,COOK ISLANDS
AVA 6,9226140,HONG KONG
AVENTINE,9123192,UNKNOWN
AYDEN,9365764,UNKNOWN
AZURE VOYAGER,9181649,GUYANA (FALSE)
B LUMINOSA‡,9256016,UNKNOWN
BALU,9235244,CAMEROON
BANGUS,9308998,BARBADOS
BARON,9080493,GUYANA (FALSE)
BAXTER,9282522,UNKNOWN
BEGONIA 1,9295282,UNKNOWN
BELLA 1,9230880,GUYANA (FALSE)
